index,airline,date_of_journey,Source,destination,route,dep_time,Arrival_time,Duration,Total_stops,Additional_info,Price,passengers
11249,SpiceJet,2024-01-19,Guwahati,Nagpur,GUW-SUR-COC-IND-NAG,02:48,21:22,6h 45min,3 stops,Limited seats,14285,58
11250,Akasa Air,2024-08-17,Kolkata,Pune,KOL-PUN,00:29,05:56,1h 45min,non-stop,In-flight meal not included,4493,134
11251,Vistara,2023-01-20,Goa,Raipur,GOA-SUR-CHE-RAI,17:54,10:34,9h 0min,2 stops,Extra baggage allowed,6940,99
11252,Vistara,2024-06-22,Goa,Delhi,GOA-DEL,18:37,03:27,15h 15min,non-stop,Business class available,11630,106
11253,SpiceJet,2023-01-14,Bangalore,Hyderabad,BAN-MUM-RAI-IND-HYD,01:49,20:01,6h 45min,3 stops,Business class available,15273,66
11254,IndiGo,2024-03-27,Jaipur,Nagpur,JAI-AHM-KOL-MUM-NAG,12:52,19:46,12h 15min,3 stops,New aircraft,14240,71
11255,GoAir,2019-12-21,Nagpur,Delhi,NAG-DEL,19:30,18:46,7h 0min,non-stop,Business class available,5740,144
11256,SpiceJet,2020-04-08,Bhubaneswar,Cochin,BHU-AHM-COC,22:38,16:54,11h 15min,1 stop,1 Long layover,9399,114
11257,Star Air,2020-04-22,Bhubaneswar,Nagpur,BHU-CHE-PAT-NAG,12:35,23:37,1h 45min,2 stops,1 Long layover,12415,23
11258,Akasa Air,2022-03-18,Pune,Chennai,PUN-GUW-IND-CHE,00:32,09:27,8h 45min,2 stops,New aircraft,13991,106
11259,GoAir,2024-10-17,Mumbai,Goa,MUM-PAT-HYD-GOA,18:42,22:44,13h 45min,2 stops,WiFi available,12445,114
11260,TruJet,2024-10-04,Varanasi,Cochin,VAR-COC,12:23,04:42,12h 30min,non-stop,New aircraft,6528,52
11261,GoAir,2020-06-27,Delhi,Mumbai,DEL-PAT-JAI-MUM,02:27,17:40,12h 45min,2 stops,No info,12639,81
11262,TruJet,2025-07-12,Goa,Mumbai,GOA-AHM-PUN-SUR-MUM,09:37,16:28,2h 15min,3 stops,In-flight meal not included,15936,24
11263,GoAir,2023-05-14,Goa,Cochin,GOA-COC,23:01,08:23,3h 0min,non-stop,New aircraft,6370,146
11264,Alliance Air,2022-06-07,Lucknow,Indore,LUC-IND,17:45,00:31,14h 15min,non-stop,Limited seats,4105,65
11265,Vistara,2023-11-26,Lucknow,Jaipur,LUC-RAI-HYD-JAI,13:40,17:03,12h 30min,2 stops,1 Long layover,8485,104
11266,Air India,2022-09-18,Delhi,Nagpur,DEL-NAG,11:29,23:25,13h 45min,non-stop,New aircraft,10030,215
11267,SpiceJet,2021-06-25,Varanasi,Hyderabad,VAR-RAI-DEL-HYD,06:28,23:03,4h 0min,2 stops,In-flight meal not included,7445,122
11268,AirAsia India,2025-11-10,Patna,Ahmedabad,PAT-AHM,05:38,14:52,12h 45min,non-stop,WiFi available,3956,152
11269,TruJet,2020-01-06,Guwahati,Ahmedabad,GUW-AHM,21:11,15:06,8h 15min,non-stop,No info,2912,47
11270,Alliance Air,2022-10-20,Bhubaneswar,Mumbai,BHU-DEL-BAN-MUM,21:22,13:32,11h 30min,2 stops,Extra baggage allowed,4708,47
11271,IndiGo,2025-05-07,Bangalore,Chennai,BAN-COC-LUC-DEL-CHE,14:56,08:16,7h 30min,3 stops,WiFi available,8783,54
11272,TruJet,2022-12-24,Patna,Guwahati,PAT-RAI-IND-GUW,18:55,21:51,1h 45min,2 stops,Business class available,5771,46
11273,AirAsia India,2019-11-03,Indore,Ahmedabad,IND-GOA-AHM,07:05,07:59,15h 15min,1 stop,Red-eye flight,9906,157
11274,GoAir,2022-06-12,Kolkata,Mumbai,KOL-MUM,14:33,08:54,1h 0min,non-stop,Extra baggage allowed,4414,146
11275,GoAir,2024-11-13,Surat,Patna,SUR-PUN-PAT,22:27,17:06,1h 15min,1 stop,1 Long layover,6456,85
11276,Air India,2023-08-03,Indore,Goa,IND-GOA,23:51,18:17,12h 15min,non-stop,1 Long layover,11714,250
11277,Star Air,2022-04-03,Raipur,Kolkata,RAI-AHM-COC-PAT-KOL,21:04,16:02,5h 15min,3 stops,Limited seats,8897,13
11278,AirAsia India,2024-10-17,Ahmedabad,Surat,AHM-CHE-SUR,20:36,16:55,11h 30min,1 stop,No info,9717,83
11279,SpiceJet,2019-01-09,Jaipur,Cochin,JAI-BAN-DEL-PUN-COC,14:16,02:24,12h 30min,3 stops,Red-eye flight,14755,55
11280,Star Air,2021-05-14,Patna,Chennai,PAT-BAN-CHE,16:15,18:15,10h 15min,1 stop,WiFi available,11183,41
11281,Akasa Air,2019-03-04,Cochin,Goa,COC-GOA,23:07,17:00,7h 15min,non-stop,No info,4757,143
11282,Air India,2019-01-18,Cochin,Mumbai,COC-IND-MUM,21:02,16:43,11h 30min,1 stop,Business class available,9690,94
11283,IndiGo,2019-03-09,Chennai,Varanasi,CHE-RAI-GUW-VAR,03:45,16:20,8h 30min,2 stops,Extra baggage allowed,9279,111
11284,GoAir,2021-04-15,Lucknow,Raipur,LUC-PUN-IND-MUM-RAI,21:41,18:20,11h 45min,3 stops,Limited seats,12328,55
11285,Vistara,2024-10-26,Nagpur,Delhi,NAG-PUN-DEL,14:53,15:01,10h 30min,1 stop,1 Long layover,6151,95
11286,AirAsia India,2023-07-08,Surat,Jaipur,SUR-MUM-GOA-BAN-JAI,08:19,16:17,5h 45min,3 stops,Limited seats,6958,45
11287,GoAir,2024-07-10,Jaipur,Indore,JAI-AHM-SUR-IND,16:37,03:25,3h 15min,2 stops,Extra baggage allowed,11434,83
11288,Alliance Air,2024-09-20,Indore,Bangalore,IND-BHU-PAT-BAN,05:32,10:03,11h 0min,2 stops,Red-eye flight,8296,38
11289,GoAir,2019-10-27,Kolkata,Pune,KOL-COC-JAI-PUN,14:55,01:06,2h 0min,2 stops,Extra baggage allowed,12456,87
11290,SpiceJet,2025-04-04,Patna,Goa,PAT-GOA,17:50,04:46,3h 0min,non-stop,Business class available,7357,140
11291,Air India,2023-06-18,Chennai,Kolkata,CHE-IND-LUC-KOL,08:35,01:54,7h 30min,2 stops,WiFi available,9751,78
11292,TruJet,2019-05-02,Mumbai,Delhi,MUM-NAG-JAI-DEL,15:25,22:13,5h 30min,2 stops,Extra baggage allowed,6940,34
11293,AirAsia India,2025-06-04,Pune,Ahmedabad,PUN-AHM,12:22,11:09,1h 0min,non-stop,In-flight meal not included,9724,85
11294,Air India,2019-07-19,Ahmedabad,Hyderabad,AHM-GUW-KOL-HYD,22:03,02:58,1h 30min,2 stops,Limited seats,6673,78
11295,IndiGo,2023-11-24,Surat,Bangalore,SUR-PAT-BAN,13:08,10:36,5h 30min,1 stop,Red-eye flight,9859,108
11296,Alliance Air,2024-11-07,Patna,Pune,PAT-DEL-PUN,16:03,02:18,10h 0min,1 stop,Business class available,12018,42
11297,Akasa Air,2022-06-17,Varanasi,Pune,VAR-BHU-JAI-PUN,20:03,18:30,10h 45min,2 stops,1 Long layover,12242,65
11298,GoAir,2024-07-26,Surat,Lucknow,SUR-AHM-LUC,14:05,07:41,8h 30min,1 stop,Limited seats,11481,75
11299,TruJet,2019-02-12,Patna,Nagpur,PAT-MUM-NAG,04:24,20:14,2h 15min,1 stop,Business class available,11345,40
11300,GoAir,2025-02-25,Goa,Mumbai,GOA-MUM,15:20,23:14,11h 15min,non-stop,Business class available,5220,135
11301,Alliance Air,2023-12-28,Pune,Delhi,PUN-DEL,14:20,04:20,11h 15min,non-stop,In-flight meal not included,8555,51
11302,Alliance Air,2023-11-11,Delhi,Varanasi,DEL-VAR,20:14,02:40,8h 30min,non-stop,1 Long layover,9303,61
11303,IndiGo,2019-11-25,Nagpur,Bhubaneswar,NAG-PUN-BHU,07:28,16:32,11h 0min,1 stop,In-flight meal not included,3514,152
11304,IndiGo,2023-02-05,Nagpur,Mumbai,NAG-MUM,06:39,21:28,2h 0min,non-stop,Red-eye flight,10824,125
11305,Akasa Air,2022-07-27,Surat,Raipur,SUR-GOA-RAI,06:41,23:42,7h 30min,1 stop,Red-eye flight,8151,113
11306,Air India,2022-04-12,Pune,Ahmedabad,PUN-IND-AHM,06:18,20:10,14h 0min,1 stop,Extra baggage allowed,6013,124
11307,GoAir,2019-02-02,Guwahati,Raipur,GUW-PUN-DEL-BAN-RAI,05:31,03:40,14h 30min,3 stops,Red-eye flight,13045,67
11308,AirAsia India,2023-12-04,Kolkata,Chennai,KOL-BHU-GUW-PAT-CHE,10:33,05:14,9h 15min,3 stops,Red-eye flight,13653,59
11309,AirAsia India,2022-11-04,Mumbai,Delhi,MUM-GOA-DEL,19:42,12:01,8h 0min,1 stop,1 Long layover,4830,143
11310,AirAsia India,2024-07-06,Surat,Mumbai,SUR-GUW-MUM,07:25,03:19,5h 15min,1 stop,In-flight meal not included,8323,122
11311,GoAir,2021-02-04,Varanasi,Nagpur,VAR-AHM-RAI-NAG,02:23,05:52,4h 0min,2 stops,Business class available,11942,92
11312,TruJet,2022-02-20,Varanasi,Raipur,VAR-RAI,11:12,09:26,15h 45min,non-stop,Extra baggage allowed,8883,52
11313,GoAir,2019-08-07,Patna,Delhi,PAT-COC-DEL,18:34,03:08,13h 15min,1 stop,1 Long layover,12024,142
11314,SpiceJet,2023-01-27,Bhubaneswar,Raipur,BHU-RAI,19:28,19:25,13h 30min,non-stop,No info,3954,134
11315,Air India,2022-05-17,Indore,Bhubaneswar,IND-NAG-BHU,15:12,06:12,13h 0min,1 stop,Business class available,8474,178
11316,SpiceJet,2020-10-06,Varanasi,Lucknow,VAR-GOA-IND-COC-LUC,05:27,12:04,14h 15min,3 stops,1 Long layover,9116,57
11317,TruJet,2025-10-08,Kolkata,Guwahati,KOL-RAI-NAG-GUW,22:45,02:45,14h 45min,2 stops,WiFi available,11825,23
11318,AirAsia India,2021-02-03,Hyderabad,Varanasi,HYD-VAR,22:53,14:29,10h 15min,non-stop,Red-eye flight,5215,111
11319,Akasa Air,2023-01-11,Kolkata,Patna,KOL-AHM-RAI-PAT,05:33,06:30,14h 30min,2 stops,New aircraft,9930,70
11320,IndiGo,2023-08-11,Guwahati,Mumbai,GUW-VAR-GOA-PAT-MUM,20:33,22:00,7h 30min,3 stops,WiFi available,7426,67
11321,IndiGo,2021-04-28,Pune,Bhubaneswar,PUN-IND-BAN-CHE-BHU,13:32,11:20,15h 0min,3 stops,WiFi available,9915,72
11322,GoAir,2019-10-19,Kolkata,Goa,KOL-AHM-COC-GOA,02:48,04:49,7h 45min,2 stops,Business class available,6474,68
11323,Air India,2019-08-12,Bangalore,Kolkata,BAN-NAG-KOL,05:07,19:01,3h 45min,1 stop,No info,6529,182
11324,Star Air,2021-11-15,Jaipur,Guwahati,JAI-BAN-VAR-HYD-GUW,22:25,19:29,10h 30min,3 stops,In-flight meal not included,14862,18
11325,Air India,2023-09-23,Goa,Jaipur,GOA-JAI,09:00,14:39,8h 15min,non-stop,Red-eye flight,9045,126
11326,Akasa Air,2023-08-22,Nagpur,Bangalore,NAG-VAR-MUM-BAN,21:03,15:16,5h 30min,2 stops,Extra baggage allowed,8882,80
11327,IndiGo,2025-06-25,Delhi,Surat,DEL-HYD-BHU-IND-SUR,06:37,22:15,11h 0min,3 stops,In-flight meal not included,10804,50
11328,Akasa Air,2020-07-09,Kolkata,Goa,KOL-MUM-GOA,19:54,06:14,12h 0min,1 stop,Limited seats,8273,86
11329,IndiGo,2023-01-12,Nagpur,Hyderabad,NAG-HYD,06:35,13:24,14h 15min,non-stop,New aircraft,5299,136
11330,IndiGo,2021-12-13,Chennai,Raipur,CHE-BHU-RAI,05:28,18:27,1h 45min,1 stop,1 Long layover,11028,151
11331,SpiceJet,2023-12-18,Bangalore,Mumbai,BAN-GOA-MUM,11:55,11:08,13h 0min,1 stop,Business class available,3223,85
11332,Vistara,2024-10-20,Raipur,Surat,RAI-NAG-KOL-SUR,13:07,20:25,3h 0min,2 stops,New aircraft,9039,69
11333,GoAir,2022-09-07,Kolkata,Varanasi,KOL-DEL-GOA-VAR,12:21,08:38,9h 45min,2 stops,In-flight meal not included,12650,71
11334,GoAir,2021-02-18,Kolkata,Lucknow,KOL-COC-IND-BHU-LUC,04:26,19:12,4h 45min,3 stops,WiFi available,13676,69
11335,Alliance Air,2023-01-12,Hyderabad,Nagpur,HYD-AHM-IND-NAG,09:50,15:24,10h 15min,2 stops,Limited seats,6543,36
11336,SpiceJet,2022-07-26,Chennai,Bangalore,CHE-BAN,19:17,23:28,10h 45min,non-stop,Extra baggage allowed,7759,133
11337,Star Air,2022-04-23,Patna,Surat,PAT-IND-SUR,07:05,00:45,13h 45min,1 stop,New aircraft,11708,32
11338,IndiGo,2025-10-15,Hyderabad,Patna,HYD-GOA-PAT,11:54,05:26,13h 15min,1 stop,Extra baggage allowed,7768,126
11339,GoAir,2022-02-14,Bangalore,Delhi,BAN-PUN-DEL,15:15,04:46,3h 45min,1 stop,New aircraft,8286,94
11340,GoAir,2022-11-15,Varanasi,Patna,VAR-COC-IND-PAT,02:24,12:43,15h 0min,2 stops,Red-eye flight,13714,90
11341,Star Air,2020-02-13,Guwahati,Chennai,GUW-CHE,01:24,00:31,15h 30min,non-stop,Extra baggage allowed,4663,57
11342,Akasa Air,2019-12-23,Guwahati,Kolkata,GUW-CHE-KOL,08:46,17:31,14h 0min,1 stop,Red-eye flight,10791,117
11343,Akasa Air,2019-03-09,Kolkata,Mumbai,KOL-BHU-MUM,04:14,01:29,5h 30min,1 stop,No info,6355,99
11344,Alliance Air,2019-11-08,Varanasi,Mumbai,VAR-PAT-MUM,01:37,08:30,4h 30min,1 stop,Extra baggage allowed,11882,41
11345,AirAsia India,2022-05-15,Surat,Kolkata,SUR-IND-GOA-KOL,17:11,04:48,1h 45min,2 stops,In-flight meal not included,10419,84
11346,Alliance Air,2019-10-07,Nagpur,Varanasi,NAG-IND-VAR,15:11,04:26,5h 45min,1 stop,WiFi available,8823,45
11347,IndiGo,2019-05-06,Pune,Goa,PUN-LUC-DEL-BAN-GOA,01:20,01:14,3h 30min,3 stops,1 Long layover,14586,66
11348,AirAsia India,2019-09-13,Raipur,Delhi,RAI-SUR-PUN-MUM-DEL,02:53,21:44,6h 30min,3 stops,Business class available,8162,51
11349,AirAsia India,2025-08-08,Jaipur,Goa,JAI-NAG-PAT-GOA,09:17,20:37,3h 30min,2 stops,Business class available,9856,76
11350,Star Air,2023-07-22,Chennai,Bangalore,CHE-PUN-BAN,19:59,19:56,12h 45min,1 stop,New aircraft,6178,55
11351,AirAsia India,2024-10-10,Ahmedabad,Bangalore,AHM-BAN,09:47,07:08,12h 15min,non-stop,Limited seats,9549,136
11352,Star Air,2025-08-02,Indore,Bhubaneswar,IND-BHU,03:04,00:21,8h 45min,non-stop,1 Long layover,6722,54
11353,Star Air,2019-06-28,Goa,Mumbai,GOA-SUR-MUM,08:56,21:17,14h 45min,1 stop,In-flight meal not included,6204,36
11354,Star Air,2024-06-13,Indore,Pune,IND-PUN,02:22,06:28,13h 45min,non-stop,Business class available,5869,50
11355,Air India,2025-09-13,Goa,Kolkata,GOA-KOL,14:20,05:01,13h 30min,non-stop,WiFi available,11527,128
11356,Akasa Air,2021-06-08,Pune,Patna,PUN-BHU-PAT,01:26,18:59,4h 45min,1 stop,In-flight meal not included,6797,107
11357,TruJet,2021-07-03,Indore,Nagpur,IND-NAG,10:33,02:40,9h 15min,non-stop,No info,3618,42
11358,Vistara,2024-03-27,Mumbai,Indore,MUM-BAN-LUC-GOA-IND,04:29,16:03,2h 15min,3 stops,1 Long layover,14165,49
11359,GoAir,2021-08-09,Patna,Raipur,PAT-RAI,08:56,00:35,2h 15min,non-stop,New aircraft,8973,125
11360,Air India,2024-03-02,Bhubaneswar,Pune,BHU-KOL-BAN-AHM-PUN,19:08,23:33,6h 15min,3 stops,New aircraft,15308,60
11361,Vistara,2020-03-23,Kolkata,Bangalore,KOL-BAN,19:43,21:10,11h 15min,non-stop,Business class available,11161,91
11362,Vistara,2023-06-24,Bhubaneswar,Delhi,BHU-BAN-JAI-DEL,07:00,10:04,13h 45min,2 stops,1 Long layover,4688,118
11363,SpiceJet,2023-06-20,Indore,Hyderabad,IND-PUN-BHU-JAI-HYD,00:17,15:39,4h 45min,3 stops,New aircraft,13281,101
11364,Air India,2021-06-03,Bhubaneswar,Mumbai,BHU-MUM,23:46,12:02,12h 45min,non-stop,WiFi available,4373,232
11365,TruJet,2019-06-24,Surat,Varanasi,SUR-VAR,15:07,06:50,2h 45min,non-stop,In-flight meal not included,4408,41
11366,Akasa Air,2023-08-16,Mumbai,Chennai,MUM-LUC-GUW-RAI-CHE,09:15,20:41,10h 30min,3 stops,WiFi available,14099,43
11367,GoAir,2022-08-17,Varanasi,Delhi,VAR-HYD-MUM-DEL,17:16,18:32,10h 30min,2 stops,Extra baggage allowed,10542,88
11368,Akasa Air,2023-09-11,Indore,Raipur,IND-SUR-RAI,03:17,17:11,7h 15min,1 stop,WiFi available,8131,74
11369,TruJet,2019-09-06,Ahmedabad,Raipur,AHM-RAI,18:25,13:33,15h 45min,non-stop,Business class available,11036,62
11370,Vistara,2022-07-28,Pune,Indore,PUN-RAI-MUM-BHU-IND,17:51,04:52,13h 15min,3 stops,WiFi available,15317,37
11371,GoAir,2022-04-11,Surat,Bhubaneswar,SUR-DEL-JAI-BHU,22:40,09:40,10h 15min,2 stops,Limited seats,5784,90
11372,Vistara,2022-09-13,Nagpur,Chennai,NAG-COC-VAR-CHE,17:55,19:37,2h 30min,2 stops,Extra baggage allowed,11889,90
11373,Alliance Air,2022-11-02,Nagpur,Varanasi,NAG-IND-BHU-COC-VAR,20:15,06:39,15h 45min,3 stops,In-flight meal not included,11135,19
11374,TruJet,2022-08-27,Goa,Lucknow,GOA-COC-LUC,13:35,00:09,3h 30min,1 stop,WiFi available,9691,43
11375,IndiGo,2020-03-26,Ahmedabad,Chennai,AHM-LUC-VAR-CHE,08:07,08:23,8h 15min,2 stops,Business class available,7563,103
11376,IndiGo,2025-01-10,Bangalore,Pune,BAN-AHM-GOA-CHE-PUN,07:05,22:00,2h 0min,3 stops,Red-eye flight,12118,97
11377,TruJet,2020-08-23,Patna,Hyderabad,PAT-HYD,14:36,15:55,5h 45min,non-stop,Extra baggage allowed,11171,32
11378,Air India,2022-04-21,Goa,Mumbai,GOA-KOL-BHU-CHE-MUM,19:08,00:38,3h 0min,3 stops,New aircraft,6255,98
11379,GoAir,2019-09-06,Guwahati,Surat,GUW-NAG-SUR,23:24,03:00,1h 45min,1 stop,WiFi available,4906,107
11380,Alliance Air,2023-03-10,Delhi,Goa,DEL-MUM-GOA,16:52,01:36,3h 45min,1 stop,WiFi available,11693,37
11381,Star Air,2021-02-17,Nagpur,Lucknow,NAG-KOL-LUC,00:24,14:55,9h 15min,1 stop,In-flight meal not included,7263,49
11382,IndiGo,2021-07-14,Bangalore,Hyderabad,BAN-BHU-GUW-CHE-HYD,06:30,02:52,15h 30min,3 stops,Extra baggage allowed,15166,74
11383,IndiGo,2024-01-12,Kolkata,Hyderabad,KOL-DEL-GUW-HYD,17:50,22:03,5h 45min,2 stops,No info,10753,94
11384,Akasa Air,2022-12-27,Jaipur,Cochin,JAI-AHM-VAR-SUR-COC,08:38,09:02,11h 30min,3 stops,Business class available,11451,73
11385,AirAsia India,2025-06-15,Kolkata,Indore,KOL-VAR-PAT-IND,17:57,07:26,14h 0min,2 stops,Extra baggage allowed,7272,90
11386,TruJet,2023-03-05,Bhubaneswar,Jaipur,BHU-RAI-MUM-CHE-JAI,01:57,09:04,3h 45min,3 stops,Red-eye flight,16058,36
11387,Akasa Air,2025-06-17,Delhi,Bhubaneswar,DEL-GUW-BAN-GOA-BHU,09:53,17:01,15h 0min,3 stops,New aircraft,14024,69
11388,GoAir,2019-01-05,Goa,Varanasi,GOA-DEL-HYD-VAR,14:17,17:37,10h 15min,2 stops,WiFi available,5311,109
11389,Vistara,2025-10-03,Goa,Lucknow,GOA-AHM-LUC,10:13,04:46,10h 0min,1 stop,Red-eye flight,9197,70
11390,Akasa Air,2022-05-12,Goa,Nagpur,GOA-CHE-RAI-NAG,05:26,16:47,14h 30min,2 stops,1 Long layover,9743,77
11391,Air India,2019-05-09,Bhubaneswar,Guwahati,BHU-PUN-GUW,05:19,04:44,3h 45min,1 stop,Business class available,11818,137
11392,Alliance Air,2024-05-02,Patna,Ahmedabad,PAT-SUR-BAN-AHM,23:08,03:58,3h 45min,2 stops,Limited seats,5672,44
11393,TruJet,2024-11-20,Hyderabad,Nagpur,HYD-GUW-NAG,19:30,06:11,3h 0min,1 stop,New aircraft,11072,58
11394,TruJet,2022-09-07,Jaipur,Indore,JAI-NAG-PUN-MUM-IND,13:51,09:20,8h 0min,3 stops,WiFi available,11705,39
11395,IndiGo,2022-05-12,Indore,Bangalore,IND-COC-BAN,03:21,04:30,14h 0min,1 stop,1 Long layover,3968,112
11396,Air India,2025-06-27,Goa,Ahmedabad,GOA-SUR-MUM-BHU-AHM,08:20,12:36,12h 30min,3 stops,1 Long layover,12861,86
11397,Akasa Air,2025-06-19,Delhi,Hyderabad,DEL-PAT-GOA-HYD,15:37,00:57,9h 45min,2 stops,Limited seats,6198,101
11398,AirAsia India,2019-08-04,Pune,Cochin,PUN-DEL-LUC-SUR-COC,01:08,23:15,8h 15min,3 stops,In-flight meal not included,16787,90
11399,Alliance Air,2022-09-06,Pune,Indore,PUN-RAI-SUR-IND,05:17,10:56,3h 15min,2 stops,1 Long layover,5119,43
11400,AirAsia India,2019-11-02,Raipur,Pune,RAI-PUN,09:06,04:56,5h 0min,non-stop,Extra baggage allowed,2724,115
11401,SpiceJet,2019-08-13,Nagpur,Bangalore,NAG-RAI-MUM-AHM-BAN,12:42,21:15,13h 45min,3 stops,In-flight meal not included,8892,75
11402,TruJet,2025-02-14,Delhi,Patna,DEL-AHM-BHU-MUM-PAT,18:46,14:28,1h 15min,3 stops,Extra baggage allowed,15765,21
11403,SpiceJet,2020-04-27,Lucknow,Raipur,LUC-JAI-RAI,16:12,07:46,14h 0min,1 stop,In-flight meal not included,5248,149
11404,Air India,2024-07-02,Hyderabad,Goa,HYD-COC-GOA,22:56,20:49,12h 45min,1 stop,Extra baggage allowed,9412,121
11405,AirAsia India,2019-12-06,Bhubaneswar,Jaipur,BHU-GUW-JAI,13:14,04:32,5h 30min,1 stop,Extra baggage allowed,6068,125
11406,Vistara,2025-12-19,Guwahati,Varanasi,GUW-KOL-JAI-VAR,10:07,07:51,5h 0min,2 stops,No info,7190,65
11407,IndiGo,2019-07-11,Bangalore,Kolkata,BAN-KOL,01:41,13:08,8h 15min,non-stop,New aircraft,5951,102
11408,Alliance Air,2019-11-08,Raipur,Goa,RAI-KOL-PAT-GOA,05:35,20:24,8h 30min,2 stops,Extra baggage allowed,6915,35
11409,IndiGo,2022-04-20,Bangalore,Pune,BAN-CHE-HYD-PUN,10:09,10:17,9h 30min,2 stops,New aircraft,6434,103
11410,TruJet,2023-05-12,Surat,Ahmedabad,SUR-DEL-BAN-KOL-AHM,12:12,22:24,5h 15min,3 stops,Red-eye flight,11361,19
11411,SpiceJet,2024-09-02,Cochin,Raipur,COC-GOA-NAG-RAI,15:50,12:40,10h 45min,2 stops,In-flight meal not included,11604,99
11412,IndiGo,2023-03-17,Nagpur,Cochin,NAG-GUW-VAR-COC,14:59,21:49,2h 0min,2 stops,Red-eye flight,9175,88
11413,AirAsia India,2020-09-04,Jaipur,Pune,JAI-DEL-COC-BHU-PUN,07:16,20:13,7h 45min,3 stops,1 Long layover,11271,60
11414,AirAsia India,2024-01-18,Bangalore,Mumbai,BAN-PUN-MUM,04:10,12:28,5h 30min,1 stop,Red-eye flight,6072,109
11415,Akasa Air,2025-03-20,Nagpur,Bhubaneswar,NAG-VAR-IND-AHM-BHU,12:07,04:01,9h 45min,3 stops,New aircraft,14767,43
11416,SpiceJet,2025-10-26,Pune,Indore,PUN-IND,12:09,21:22,6h 0min,non-stop,WiFi available,4718,117
11417,Vistara,2020-07-04,Kolkata,Bangalore,KOL-PUN-GUW-HYD-BAN,23:22,09:55,10h 15min,3 stops,No info,8292,71
11418,Alliance Air,2019-08-16,Delhi,Mumbai,DEL-JAI-MUM,18:18,01:25,15h 0min,1 stop,In-flight meal not included,10884,45
11419,Akasa Air,2019-09-24,Patna,Bangalore,PAT-AHM-CHE-BHU-BAN,21:56,17:39,10h 30min,3 stops,New aircraft,6466,85
11420,GoAir,2019-09-18,Mumbai,Goa,MUM-RAI-GOA,04:19,17:47,4h 30min,1 stop,Red-eye flight,12410,116
11421,Alliance Air,2020-12-23,Cochin,Kolkata,COC-KOL,02:25,13:24,12h 45min,non-stop,Business class available,5606,57
11422,Vistara,2025-02-07,Pune,Nagpur,PUN-NAG,21:32,14:18,1h 30min,non-stop,No info,8551,105
11423,AirAsia India,2019-02-22,Bhubaneswar,Mumbai,BHU-GUW-LUC-MUM,18:13,02:25,7h 30min,2 stops,WiFi available,7137,83
11424,IndiGo,2020-11-26,Lucknow,Indore,LUC-IND,02:59,21:40,14h 45min,non-stop,Red-eye flight,5848,132
11425,TruJet,2023-10-22,Hyderabad,Patna,HYD-PAT,22:50,09:26,2h 0min,non-stop,In-flight meal not included,9119,73
11426,TruJet,2020-11-27,Varanasi,Mumbai,VAR-PUN-GOA-MUM,07:05,16:49,6h 0min,2 stops,WiFi available,4834,24
11427,Alliance Air,2022-05-19,Varanasi,Raipur,VAR-RAI,09:43,06:22,12h 45min,non-stop,1 Long layover,9467,60
11428,IndiGo,2024-05-09,Ahmedabad,Delhi,AHM-DEL,21:36,14:21,8h 45min,non-stop,Business class available,4329,105
11429,TruJet,2022-08-20,Raipur,Hyderabad,RAI-PAT-GOA-NAG-HYD,13:45,23:44,6h 0min,3 stops,In-flight meal not included,13377,16
11430,Akasa Air,2023-04-21,Chennai,Lucknow,CHE-RAI-COC-IND-LUC,09:35,03:06,6h 45min,3 stops,1 Long layover,10071,66
11431,TruJet,2024-10-01,Goa,Nagpur,GOA-GUW-NAG,08:56,10:58,5h 0min,1 stop,Limited seats,12324,49
11432,Air India,2021-12-11,Lucknow,Jaipur,LUC-JAI,22:53,21:34,8h 30min,non-stop,In-flight meal not included,7424,115
11433,Akasa Air,2023-03-17,Cochin,Lucknow,COC-MUM-LUC,04:26,00:13,2h 15min,1 stop,Limited seats,5884,123
11434,Air India,2020-11-06,Guwahati,Delhi,GUW-DEL,01:58,17:35,11h 0min,non-stop,Business class available,6383,191
11435,Star Air,2023-09-17,Varanasi,Bhubaneswar,VAR-GOA-BHU,00:26,17:55,9h 30min,1 stop,Red-eye flight,9571,39
11436,Air India,2022-10-01,Pune,Surat,PUN-COC-SUR,15:12,00:14,4h 30min,1 stop,In-flight meal not included,11248,121
11437,Alliance Air,2022-06-13,Patna,Raipur,PAT-KOL-CHE-RAI,07:24,18:29,8h 30min,2 stops,Business class available,12982,35
11438,AirAsia India,2020-01-17,Patna,Indore,PAT-SUR-JAI-IND,19:34,07:56,10h 30min,2 stops,Red-eye flight,5469,81
11439,Vistara,2025-08-23,Mumbai,Bhubaneswar,MUM-GUW-BAN-LUC-BHU,13:51,17:38,10h 45min,3 stops,WiFi available,16536,59
11440,Star Air,2024-05-01,Mumbai,Hyderabad,MUM-SUR-IND-HYD,22:06,13:40,15h 45min,2 stops,In-flight meal not included,8134,44
11441,Alliance Air,2025-03-15,Bangalore,Guwahati,BAN-HYD-GUW,14:02,12:22,5h 15min,1 stop,Red-eye flight,7752,43
11442,SpiceJet,2025-08-06,Jaipur,Surat,JAI-SUR,19:07,03:29,13h 0min,non-stop,No info,11884,122
11443,IndiGo,2024-05-18,Bhubaneswar,Goa,BHU-CHE-GOA,00:27,15:42,8h 30min,1 stop,New aircraft,4648,114
